_date,total_clones,unique_clones
2023-11-24,1,1
2023-11-26,1,1
2023-11-27,19,10
2023-11-28,1,1
2023-12-03,1,1
2023-12-04,3,3
2023-12-06,1,1
2023-12-08,1,1
2023-12-09,1,1
2023-12-11,1,1
2023-12-14,1,1
2023-12-21,1,1
2023-12-23,2,2
2023-12-26,1,1
2023-12-28,2,1
2023-12-30,4,2
2024-01-01,1,1
2024-01-04,3,1
2024-01-06,2,1
2024-01-07,1,1
2024-01-10,1,1
2024-01-11,1,1
2024-01-12,1,1
2024-01-13,1,1
2024-01-14,2,2
2024-01-17,1,1
2024-01-21,1,1
2024-01-23,2,1
2024-01-24,7,4
2024-01-26,9,6
2024-01-28,2,2
2024-01-29,2,2
2024-01-30,2,1
2024-02-05,1,1
2024-02-06,1,1
2024-02-22,1,1
2024-02-24,1,1
2024-02-27,1,1
2024-03-01,7,4
2024-03-02,1,1
2024-03-04,2,2
2024-03-07,1,1
2024-03-09,1,1
2024-03-10,1,1
2024-03-14,1,1
2024-03-16,2,2
2024-03-18,1,1
2024-03-28,1,1
2024-04-03,2,2
2024-04-08,1,1
2024-04-16,1,1
2024-04-18,1,1
2024-04-19,1,1
2024-04-20,2,1
2024-04-27,1,1
2024-05-10,1,1
2024-05-12,1,1
2024-05-13,4,4
2024-05-15,1,1
2024-05-16,1,1
2024-05-19,1,1
2024-05-21,1,1
2024-05-22,2,2
2024-05-30,3,3
2024-05-31,2,2
2024-06-01,1,1
2024-06-02,1,1
2024-06-03,1,1
2024-06-12,1,1
2024-06-17,1,1
2024-06-23,1,1
2024-07-06,1,1
2024-07-12,1,1
2024-07-15,1,1
2024-07-18,4,2
2024-07-19,7,3
2024-07-24,1,1
2024-08-03,1,1
2024-08-05,1,1
2024-08-06,1,1
2024-08-09,1,1
2024-08-13,3,3
2024-08-14,3,2
2024-08-16,1,1
2024-08-19,1,1
2024-08-20,1,1
2024-08-21,5,4
2024-08-22,1,1
2024-08-23,1,1
2024-08-24,1,1
2024-08-26,1,1
2024-08-27,2,1
2024-08-29,4,3
2024-08-30,1,1
2024-08-31,1,1
2024-09-01,1,1
2024-09-02,1,1
2024-09-05,1,1
2024-09-10,4,3
2024-09-11,1,1
2024-09-12,1,1
2024-09-13,1,1
2024-09-16,1,1
2024-09-18,5,5
2024-09-19,5,4
2024-09-20,8,5
2024-09-21,1,1
2024-09-23,1,1
2024-09-24,1,1
2024-09-25,2,2
2024-09-26,6,5
2024-09-29,2,2
2024-10-07,1,1
2024-10-10,1,1
2024-10-18,1,1
2024-10-21,1,1
2024-10-24,1,1
2024-10-25,1,1
2024-10-30,1,1
2024-11-02,1,1
2024-11-06,5,4
2024-11-08,2,1
2024-11-11,2,2
2024-11-16,1,1
2024-11-18,2,1
2024-11-25,1,1
2024-12-02,1,1
2024-12-04,1,1
2024-12-09,1,1
2024-12-12,1,1
2024-12-24,1,1
2025-01-07,2,1
2025-01-08,1,1
2025-01-12,2,2
2025-01-13,1,1
2025-01-30,1,1
2025-02-02,1,1
2025-02-04,1,1
2025-02-11,1,1
2025-02-13,5,4
2025-02-16,1,1
2025-02-19,1,1
2025-02-20,4,3
2025-02-22,1,1
2025-02-24,2,1
2025-02-26,1,1
2025-03-01,1,1
2025-03-04,1,1
2025-03-05,2,2
2025-03-07,1,1
2025-03-10,2,2
2025-03-11,2,1
2025-03-16,1,1
2025-03-17,1,1
2025-03-19,2,1
2025-03-20,1,1
2025-03-22,1,1
2025-03-29,12,12
2025-03-30,3,3
2025-03-31,1,1
2025-04-01,1,1
2025-04-03,1,1
2025-04-04,7,7
2025-04-06,1,1
2025-04-11,1,1
2025-04-14,1,1
